iter	Passed	Remaining
399	45971	68957
400	46070	68818
401	46164	68672
402	46265	68536
403	46372	68411
404	46479	68284
405	46580	68149
406	46683	68017
407	46774	67868
408	46888	67753
409	46980	67605
410	47062	67444
411	47174	67326
412	47277	67196
413	47375	67058
414	47481	66931
415	47580	66795
416	47689	66673
417	47797	66550
418	47908	66431
419	48006	66294
420	48115	66173
421	48214	66038
422	48309	65897
423	48402	65754
424	48508	65628
425	48608	65496
426	48708	65363
427	48813	65237
428	48909	65098
429	49002	64956
430	49117	64844
431	49209	64700
432	49297	64553
433	49410	64438
434	49499	64292
435	49614	64179
436	49720	64056
437	49826	63932
438	49924	63799
439	50031	63676
440	50132	63546
441	50254	63443
442	50345	63301
443	50446	63171
444	50567	63067
445	50670	62941
446	50779	62820
447	50897	62712
448	51007	62594
449	51101	62457
450	51203	62329
451	51321	62222
452	51410	62078
453	51510	61948
454	51624	61835
455	51733	61717
456	51829	61583
457	51941	61468
458	52040	61338
459	52136	61203
460	52230	61068
461	52339	60949
462	52437	60818
463	52541	60694
464	52644	60569
465	52751	60449
466	52853	60322
467	52947	60188
468	53056	60070
469	53171	59959
470	53279	59840
471	53388	59722
472	53475	59580
473	53583	59461
474	53677	59328
475	53772	59195
476	53879	59075
477	53990	58960
478	54076	58818
479	54181	58696
480	54287	58576
481	54395	58458
482	54499	58336
483	54599	58209
484	54735	58121
485	54845	58005
486	54931	57864
487	55045	57752
488	55150	57631
489	55246	57501
490	55356	57386
491	55455	57258
492	55556	57133
493	55650	57002
494	55754	56880
495	55854	56755
496	55955	56631
497	56086	56536
498	56187	56413
499	56283	56283
500	56371	56146
501	56484	56034
502	56591	55916
503	56689	55789
504	56792	55668
505	56895	55546
506	57000	55426
507	57097	55298
508	57201	55178
509	57295	55048
510	57394	54923
511	57489	54794
512	57581	54663
513	57688	54546
514	57786	54420
515	57883	54293
516	57992	54178
517	58090	54053
518	58189	53928
519	58293	53808
520	58396	53688
521	58498	53567
522	58600	53446
523	58702	53325
524	58812	53211
525	58924	53099
526	59021	52973
527	59123	52852
528	59226	52733
529	59315	52600
530	59414	52477
531	59542	52379
532	59642	52256
533	59735	52128
534	59845	52015
535	59942	51890
536	60036	51762
537	60164	51665
538	60255	51535
539	60362	51420
540	60479	51312
541	60596	51205
542	60703	51088
543	60791	50957
544	60891	50835
545	61005	50726
546	61097	50597
547	61196	50475
548	61304	50361
549	61405	50240
550	61501	50116
551	61598	49993
552	61701	49874
553	61817	49766
554	61950	49671
555	62054	49554
556	62182	49455
557	62288	49339
558	62393	49223
559	62505	49111
560	62621	49003
561	62755	48909
562	62871	48801
563	62987	48692
564	63099	48581
565	63204	48464
566	63347	48376
567	63469	48272
568	63565	48148
569	63664	48027
570	63795	47930
571	63911	47822
572	64058	47736
573	64184	47635
574	64283	47513
575	64419	47420
576	64558	47328
577	64672	47217
578	64798	47116
579	64929	47017
580	65045	46909
581	65159	46798
582	65261	46679
583	65401	46587
584	65507	46471
585	65645	46377
586	65846	46328
587	65954	46213
588	66060	46096
589	66175	45986
590	66296	45880
591	66399	45761
592	66498	45640
593	66659	45561
594	66755	45438
595	66861	45322
596	67000	45227
597	67123	45123
598	67224	45003
599	67362	44908
600	67483	44801
601	67606	44696
602	67705	44575
603	67805	44455
604	67907	44336
605	67999	44210
606	68098	44090
607	68204	43973
608	68298	43849
609	68401	43731
610	68512	43619
611	68599	43490
612	68699	43371
613	68804	43255
614	68905	43135
615	69003	43015
616	69112	42901
617	69207	42778
618	69313	42662
619	69415	42544
620	69517	42426
621	69646	42325
622	69744	42205
623	69850	42089
624	69952	41971
625	70059	41856
626	70163	41740
627	70259	41618
628	70359	41499
629	70462	41382
630	70556	41260
631	70657	41142
632	70768	41029
633	70862	40907
634	70963	40789
635	71075	40678
636	71169	40556
637	71259	40432
638	71369	40320
639	71477	40205
640	71584	40091
641	71681	39971
642	71788	39857
643	71896	39744
644	71999	39627
645	72100	39510
646	72197	39390
647	72304	39276
648	72399	39155
649	72496	39036
650	72600	38920
651	72695	38800
652	72798	38684
653	72904	38570
654	73009	38455
655	73100	38333
656	73205	38218
657	73298	38097
658	73403	37982
659	73501	37864
660	73598	37745
661	73696	37627
662	73797	37510
663	73898	37394
664	73994	37275
665	74098	37160
666	74195	37042
667	74287	36921
668	74391	36806
669	74488	36688
670	74585	36570
671	74690	36456
672	74795	36342
673	74891	36223
674	74987	36104
675	75079	35984
676	75182	35869
677	75288	35756
678	75381	35636
679	75478	35519
680	75576	35402
681	75671	35283
682	75783	35173
683	75878	35055
684	75973	34936
685	76081	34824
686	76169	34702
687	76265	34585
688	76357	34466
689	76457	34350
690	76560	34236
691	76663	34122
692	76753	34001
693	76861	33889
694	76956	33772
695	77058	33657
696	77168	33546
697	77266	33430
698	77368	33316
699	77473	33202
700	77567	33085
701	77669	32970
702	77768	32855
703	77884	32746
704	77998	32637
705	78099	32522
706	78210	32412
707	78312	32298
708	78413	32183
709	78511	32068
710	78618	31956
711	78728	31845
712	78825	31729
713	78924	31613
714	79025	31499
715	79125	31384
716	79219	31267
717	79312	31150
718	79411	31035
719	79504	30918
720	79609	30805
721	79713	30693
722	79807	30576
723	79918	30466
724	80027	30355
725	80123	30239
726	80224	30125
727	80323	30011
728	80431	29899
729	80522	29782
730	80625	29669
731	80734	29558
732	80834	29444
733	80937	29331
734	81036	29217
735	81125	29099
736	81228	28986
737	81327	28872
738	81416	28754
739	81527	28644
740	81615	28526
741	81726	28417
742	81832	28305
743	81936	28193
744	82031	28077
745	82151	27970
746	82249	27857
747	82355	27745
748	82483	27641
749	82586	27528
750	82688	27416
751	82780	27299
752	82888	27189
753	82985	27074
754	83082	26960
755	83198	26852
756	83294	26737
757	83380	26620
758	83481	26507
759	83578	26393
760	83680	26280
761	83798	26173
762	83900	26060
763	84001	25948
764	84103	25835
765	84204	25723
766	84303	25609
767	84405	25497
768	84500	25383
769	84605	25271
770	84705	25158
771	84807	25046
772	84912	24935
773	85016	24824
774	85105	24708
775	85212	24597
776	85303	24482
777	85405	24370
778	85516	24260
779	85615	24148
780	85712	24034
781	85811	23921
782	85913	23810
783	86001	23694
784	86109	23584
785	86208	23471
786	86304	23358
787	86423	23250
788	86524	23139
789	86630	23028
790	86721	22913
791	86837	22805
792	86946	22696
793	87046	22583
794	87140	22470
795	87235	22356
796	87335	22244
797	87430	22131
798	87527	22018
799	87623	21905
800	87725	21794
801	87830	21683
802	87928	21571
803	88023	21458
804	88115	21344
805	88222	21234
806	88313	21120
807	88447	21017
808	88552	20906
809	88652	20795
810	88747	20682
811	88853	20571
812	88958	20461
813	89049	20347
814	89145	20235
815	89243	20123
816	89336	20010
817	89442	19900
818	89535	19787
819	89638	19676
820	89864	19592
821	89959	19480
822	90058	19368
823	90191	19264
824	90290	19152
825	90382	19039
826	90497	18931
827	90591	18818
828	90692	18707
829	90794	18596
830	90885	18483
831	90981	18371
832	91095	18262
833	91190	18150
834	91298	18040
835	91404	17931
836	91502	17819
837	91604	17708
838	91706	17598
839	91810	17487
840	91916	17377
841	92020	17267
842	92119	17156
843	92223	17046
844	92317	16933
845	92434	16826
846	92538	16715
847	92630	16603
848	92742	16494
849	92849	16385
850	92938	16272
851	93047	16163
852	93149	16052
853	93240	15940
854	93352	15831
855	93454	15721
856	93569	15613
857	93669	15502
858	93770	15391
859	93897	15285
860	93995	15174
861	94083	15062
862	94199	14954
863	94300	14843
864	94412	14734
865	94511	14624
866	94604	14512
867	94706	14402
868	94803	14291
869	94901	14180
870	95005	14070
871	95090	13958
872	95189	13847
873	95291	13737
874	95383	13626
875	95467	13513
