iter	Logloss
0	0.6911594189
1	0.6892957427
2	0.6868061817
3	0.6845429026
4	0.6823927024
5	0.6806101784
6	0.6788360772
7	0.6762580551
8	0.673414046
9	0.6718199952
10	0.6702135853
11	0.6687952035
12	0.6668798905
13	0.6654271289
14	0.6637752248
15	0.6621526969
16	0.6600081946
17	0.6589312463
18	0.6576535546
19	0.6568078221
20	0.6554238726
21	0.6530109953
22	0.6519166181
23	0.6502425663
24	0.6490197718
25	0.6477522646
26	0.6463550097
27	0.6451337171
28	0.6438977643
29	0.6427785467
30	0.6415816602
31	0.6405593102
32	0.6390722129
33	0.6379229501
34	0.6367006554
35	0.6352747431
36	0.6342902196
37	0.6332336531
38	0.6321011386
39	0.6305490515
40	0.6294015105
41	0.6283543891
42	0.6272181751
43	0.6263746741
44	0.6255395966
45	0.6244357239
46	0.6235493724
47	0.6225696201
48	0.6214788911
49	0.6205271531
50	0.6194447049
51	0.6182594828
52	0.6174757003
53	0.6165040956
54	0.6151531746
55	0.6140086068
56	0.6129465027
57	0.6120469558
58	0.6109564411
59	0.6099143557
60	0.6091509725
61	0.6083044015
62	0.6072640403
63	0.6062233548
64	0.6051076218
65	0.6041639053
66	0.6031772224
67	0.6021795103
68	0.6009762771
69	0.6001640371
70	0.599410591
71	0.5983670883
72	0.5972841505
73	0.596676241
74	0.5957216936
75	0.5948168768
76	0.5940201695
77	0.5932323708
78	0.5923240777
79	0.5914883354
80	0.5906530018
81	0.5894891444
82	0.5887280051
83	0.5879405527
84	0.5871168
85	0.5863986127
86	0.5855346325
87	0.584842732
88	0.5838416437
89	0.5831616687
90	0.5818913413
91	0.5808785581
92	0.5801252032
93	0.5794503089
94	0.5787269696
95	0.5777638384
96	0.5769515137
97	0.5762341846
98	0.5756376658
99	0.5750011504
100	0.5739513627
101	0.572890165
102	0.571840964
103	0.5708271136
104	0.5701594633
105	0.5691471423
106	0.5680701156
107	0.5673744267
108	0.566658928
109	0.5658564137
110	0.565161024
111	0.5643839586
112	0.5636211429
113	0.5627705679
114	0.5614196615
115	0.5603781798
116	0.5593004543
117	0.5585056137
118	0.5577683306
119	0.5570661814
120	0.5561712454
121	0.5553806725
122	0.5545348121
123	0.553586003
124	0.5525930351
125	0.5518125821
126	0.5510977368
127	0.5502062801
128	0.5492813862
129	0.5485369132
130	0.5475098021
131	0.5465618204
132	0.5460034914
133	0.5450970987
134	0.5443098772
135	0.5434337809
136	0.5426069229
137	0.5420667245
138	0.5413733231
139	0.5402356135
140	0.5394478114
141	0.5388772064
142	0.538107585
143	0.5375784113
144	0.5367084085
145	0.5360862593
146	0.5351315584
147	0.5340690607
